era,decade_label,phrase,tone_label,source,funding_million_usd,survival_rate_percent,survival_data_type,policy_milestone
1970s,1970s - The Silence Era,"Hope and comfort, the relief of suffering and the affirmation of life itself.",dread,"Richard Nixon, press statement on signing the National Cancer Act, Dec. 23, 1971 (The Cancer Letter / NPR)",915,48.9,"actual (SEER, 1975-77 cohort)",1971 - National Cancer Act signed; NCI authorized to lead a coordinated National Cancer Program
1970s,1970s - The Silence Era,The amount of money that's being spent for medical research is just piddling.,dread,"Mary Lasker, CBS News interview, 1959, on cancer research funding (The Cancer Letter)",915,48.9,"actual (SEER, 1975-77 cohort)",1971 - National Cancer Act signed; NCI authorized to lead a coordinated National Cancer Program
1970s,1970s - The Silence Era,"With the modern diseases, once TB, now cancer, the romantic idea that the disease expresses the character is invariably extended to assert that the character causes the disease.",dread,"Susan Sontag, Illness as Metaphor, 1978",915,48.9,"actual (SEER, 1975-77 cohort)",1971 - National Cancer Act signed; NCI authorized to lead a coordinated National Cancer Program
1970s,1970s - The Silence Era,She lost her battle with the disease after a long illness.,dread,"illustrative (representative of era's tone, not a direct quote)",915,48.9,"actual (SEER, 1975-77 cohort)",1971 - National Cancer Act signed; NCI authorized to lead a coordinated National Cancer Program
1970s,1970s - The Silence Era,The family did not wish to name the cause of death.,dread,"illustrative (representative of era's tone, not a direct quote)",915,48.9,"actual (SEER, 1975-77 cohort)",1971 - National Cancer Act signed; NCI authorized to lead a coordinated National Cancer Program
1970s,1970s - The Silence Era,He was diagnosed with the dreaded illness last spring.,dread,"illustrative (representative of era's tone, not a direct quote)",915,48.9,"actual (SEER, 1975-77 cohort)",1971 - National Cancer Act signed; NCI authorized to lead a coordinated National Cancer Program
1970s,1970s - The Silence Era,Doctors gave her only months to live.,dread,"illustrative (representative of era's tone, not a direct quote)",915,48.9,"actual (SEER, 1975-77 cohort)",1971 - National Cancer Act signed; NCI authorized to lead a coordinated National Cancer Program
1970s,1970s - The Silence Era,The word itself was rarely spoken aloud in polite company.,dread,"illustrative (representative of era's tone, not a direct quote)",915,48.9,"actual (SEER, 1975-77 cohort)",1971 - National Cancer Act signed; NCI authorized to lead a coordinated National Cancer Program
1970s,1970s - The Silence Era,A long and courageous struggle finally came to an end.,dread,"illustrative (representative of era's tone, not a direct quote)",915,48.9,"actual (SEER, 1975-77 cohort)",1971 - National Cancer Act signed; NCI authorized to lead a coordinated National Cancer Program
1970s,1970s - The Silence Era,The diagnosis was kept secret from the children.,dread,"illustrative (representative of era's tone, not a direct quote)",915,48.9,"actual (SEER, 1975-77 cohort)",1971 - National Cancer Act signed; NCI authorized to lead a coordinated National Cancer Program
1970s,1970s - The Silence Era,"Once the disease has spread, the outlook turns grim.",dread,"illustrative (representative of era's tone, not a direct quote)",915,48.9,"actual (SEER, 1975-77 cohort)",1971 - National Cancer Act signed; NCI authorized to lead a coordinated National Cancer Program
1970s,1970s - The Silence Era,Survival beyond a few years is considered rare.,dread,"illustrative (representative of era's tone, not a direct quote)",915,48.9,"actual (SEER, 1975-77 cohort)",1971 - National Cancer Act signed; NCI authorized to lead a coordinated National Cancer Program
1970s,1970s - The Silence Era,The obituary listed the cause simply as a long illness.,dread,"illustrative (representative of era's tone, not a direct quote)",915,48.9,"actual (SEER, 1975-77 cohort)",1971 - National Cancer Act signed; NCI authorized to lead a coordinated National Cancer Program
1970s,1970s - The Silence Era,Whispered conversations replaced open discussion of her condition.,dread,"illustrative (representative of era's tone, not a direct quote)",915,48.9,"actual (SEER, 1975-77 cohort)",1971 - National Cancer Act signed; NCI authorized to lead a coordinated National Cancer Program
1970s,1970s - The Silence Era,Treatment options remained limited and experimental.,dread,"illustrative (representative of era's tone, not a direct quote)",915,48.9,"actual (SEER, 1975-77 cohort)",1971 - National Cancer Act signed; NCI authorized to lead a coordinated National Cancer Program
1970s,1970s - The Silence Era,The diagnosis was treated as a death sentence.,dread,"illustrative (representative of era's tone, not a direct quote)",915,48.9,"actual (SEER, 1975-77 cohort)",1971 - National Cancer Act signed; NCI authorized to lead a coordinated National Cancer Program
1970s,1970s - The Silence Era,Few dared to say the word cancer out loud.,dread,"illustrative (representative of era's tone, not a direct quote)",915,48.9,"actual (SEER, 1975-77 cohort)",1971 - National Cancer Act signed; NCI authorized to lead a coordinated National Cancer Program
1970s,1970s - The Silence Era,The prognosis was grim from the very first visit.,dread,"illustrative (representative of era's tone, not a direct quote)",915,48.9,"actual (SEER, 1975-77 cohort)",1971 - National Cancer Act signed; NCI authorized to lead a coordinated National Cancer Program
1970s,1970s - The Silence Era,The family kept the diagnosis a closely guarded secret.,dread,"illustrative (representative of era's tone, not a direct quote)",915,48.9,"actual (SEER, 1975-77 cohort)",1971 - National Cancer Act signed; NCI authorized to lead a coordinated National Cancer Program
